id,nome,sobrenome,email,ip_acesso,bandeira_cartao,data_compra,produto,valor,latitude,longitude
1,Thorn,Oury,toury0@go.com,85.75.134.133,visa-electron,2020-05-20,228976713-1,94.04,41.3402313,-8.3633682
2,Zorina,Kairns,zkairns1@google.co.uk,121.202.138.146,bankcard,2020-02-04,491882073-5,89.76,-7.5450262,111.6556388
3,Madelaine,Durning,mdurning2@google.fr,211.68.110.250,jcb,2020-04-20,603099929-X,7.19,43.4945737,5.8978018
4,Felipe,Shoebottom,fshoebottom3@gravatar.com,233.129.49.0,jcb,2020-07-15,628588005-0,41.66,4.4529473,126.7496264
5,Seward,Orae,sorae4@networksolutions.com,41.65.205.66,jcb,2020-04-13,231546816-7,60.43,50.614436,19.46436
6,Linnell,Steinham,lsteinham5@si.edu,188.138.151.48,jcb,2020-06-05,387428504-9,28.82,-25.7677734,31.0242101
7,Louie,Gaskin,lgaskin6@elegantthemes.com,151.131.78.107,jcb,2020-03-08,651655597-4,77.34,-9.0633364,-78.589011
8,Tedda,Millhill,tmillhill7@hp.com,245.190.102.133,visa-electron,2020-06-01,967518715-8,31.53,16.4359827,104.3559158
9,Curcio,Shurmore,cshurmore8@house.gov,8.136.206.116,laser,2020-08-17,137941312-5,6.65,39.3253135,-9.232542
10,Rudd,Roughley,rroughley9@whitehouse.gov,84.96.44.171,jcb,2020-03-22,740321294-0,99.22,44.4280906,18.6066275
11,Madeline,Ogilvie,mogilviea@psu.edu,61.79.173.212,laser,2020-02-24,931939383-4,54.06,52.2513095,-7.1111732
12,Tarrah,Kiendl,tkiendlb@usa.gov,162.142.5.112,visa,2020-06-01,909622372-1,7.55,34.0236518,113.8059154
13,Randie,Parmley,rparmleyc@cyberchimps.com,66.200.81.142,americanexpress,2020-06-09,828093450-2,54.53,41.805699,123.431472
14,Normy,Persian,npersiand@ifeng.com,173.224.146.37,jcb,2020-05-23,362761849-1,7.67,-6.8604554,-51.4309582
15,Heloise,Pottery,hpotterye@homestead.com,31.71.110.85,jcb,2020-08-19,157338088-1,46.97,-4.8383044,-80.6482153
16,Herschel,Fido,hfidof@t.co,139.164.151.70,jcb,2020-05-10,999119829-6,83.42,10.334895,123.933309
17,Merralee,Boam,mboamg@google.com.hk,19.243.170.182,china-unionpay,2020-02-20,330562661-5,29.82,31.6774341,20.2713072
18,Ninette,Pallant,npallanth@gravatar.com,107.227.255.155,jcb,2020-03-15,215292086-4,31.46,-7.572027,112.5125893
19,Francis,Enright,fenrighti@geocities.jp,141.217.166.36,jcb,2020-01-21,526855517-0,70.01,54.519499,86.358927
20,Rafferty,Sayers,rsayersj@nba.com,234.210.114.31,diners-club-carte-blanche,2020-01-25,629475838-6,7.33,41.6985084,-8.3404338
21,Trumaine,Pirie,tpiriek@reference.com,35.10.203.74,visa-electron,2020-04-06,949672175-3,14.55,27.569678,116.63704
22,Jordain,Vallentin,jvallentinl@wired.com,70.190.134.42,visa-electron,2020-06-13,121151323-8,12.55,36.182571,116.768358
23,Fields,Rohlfing,frohlfingm@studiopress.com,229.25.184.10,switch,2020-11-26,549217080-5,37.36,17.9835237,100.051784
24,Lesly,Blenkinship,lblenkinshipn@usa.gov,63.228.33.212,maestro,2020-02-26,722406845-4,8.26,28.1962471,84.3857442
25,Shannan,Byng,sbyngo@purevolume.com,1.34.82.152,laser,2020-05-02,249850982-8,87.50,49.387383,1.0839961
26,Haleigh,Basindale,hbasindalep@networkadvertising.org,79.56.181.5,americanexpress,2020-12-17,536052733-1,44.28,53.3449659,32.0532332
27,Maxie,Maxfield,mmaxfieldq@whitehouse.gov,217.107.187.13,diners-club-international,2020-04-19,193902165-0,70.15,49.8338541,36.3240107
28,Shaylynn,Rizzotto,srizzottor@homestead.com,45.17.48.75,jcb,2020-11-13,448307929-8,28.50,1.1287179,11.267967
29,Jamey,Wiggington,jwiggingtons@wiley.com,85.226.224.38,jcb,2020-06-24,816744386-8,33.60,55.1192905,61.6026474
30,Korney,Oslar,koslart@usa.gov,153.189.4.168,mastercard,2020-03-01,851861302-7,51.44,49.44998,-112.65185
31,Janot,Choak,jchoaku@pcworld.com,188.100.215.145,jcb,2020-03-01,634731488-6,73.03,-8.3965,123.0856
32,Justino,Podmore,jpodmorev@shop-pro.jp,80.183.254.161,jcb,2020-02-01,763843972-4,44.06,26.4068381,-80.1058665
